Sentences,Sentiment
Transaction search filters don’t work properly.,Neutral
I loved the cashback I received on my utility bill payments.,Positive
Loan disbursal was quick and required minimal documentation.,Positive
The auto-pay feature didn’t work and led to penalty charges.,Neutral
Refund from a failed transaction took more than 10 days.,Neutral
My transaction history shows duplicate entries.,Neutral
The bank’s response time on email queries is very fast.,Positive
The branch staff were unhelpful and dismissive of my issue.,Neutral
My account balance is updated in real-time.,Neutral
The account opening process was smooth and took less than 15 minutes.,Positive
The credit score section shows outdated information.,Negative
The bank took too long to issue a closure certificate.,Negative
The loan application process was seamless and completed within a day.,Positive
I was denied a loan despite good credit history.,Positive
I liked the helpful insights provided in the monthly spending summary.,Positive
App updates often introduce new bugs and glitches.,Positive
My credit card was blocked without any explanation.,Neutral
I was not informed about the processing fee during loan application.,Neutral
The savings account offers quarterly interest payouts.,Positive
The app crashed multiple times while making a payment.,Neutral
My personal loan was approved instantly through the app.,Neutral
The branch staff were courteous and knowledgeable.,Positive
Customer service representatives were rude and unhelpful.,Negative
Auto-debit setup was convenient and saved me a lot of time.,Neutral
The foreign transaction process was hassle-free and transparent.,Negative
I was pleasantly surprised by the zero processing fee on my loan.,Positive
The credit card annual fee is too high for the benefits offered.,Positive
My EMI schedule has errors in principal and interest split.,Neutral
The card control feature gives me peace of mind for online transactions.,Neutral
Interest rate increased without any prior notification.,Neutral
My loan balance wasn’t updated after partial prepayment.,Negative
I opened a new savings account online last week.,Positive
EMI payment reminders are timely and help me avoid late fees.,Negative
I feel confident using the bank’s secure net banking platform.,Positive
The EMI auto-debit failed despite sufficient balance.,Negative
The loan approval process was unnecessarily complicated.,Negative
Customer support went above and beyond to solve my billing issue.,Neutral
Customer service took too long to answer my call.,Negative
The interest rates offered were very competitive and affordable.,Positive
My account was frozen without proper notice.,Neutral
App notifications are inconsistent and sometimes delayed.,Neutral
The bank’s app is regularly updated and runs smoothly.,Positive
I got an attractive interest rate on my home loan.,Positive
UPI transactions are processed instantly without any delay.,Neutral
The credit card statement was generated today.,Neutral
The credit card offers excellent rewards on dining and travel.,Positive
Net banking was unavailable during peak hours.,Neutral
Reward points on my credit card are generous and easy to redeem.,Positive
My loan statement showed incorrect outstanding balance.,Positive
The credit limit is too low compared to my income.,Neutral
The ATM ran out of cash frequently near my area.,Positive
Interest credited on savings is always accurate and timely.,Positive
The EMI calculator was accurate and helped me plan my finances.,Positive
Customer queries are ignored after initial acknowledgment.,Neutral
I received my credit card bill yesterday.,Neutral
My loan top-up request was handled professionally and approved quickly.,Positive
Customer care resolved my issue on the first call itself.,Positive
I checked my CIBIL score in the banking app.,Neutral
I faced delays in loan disbursal due to missing communication.,Negative
The bank’s relationship manager explained all charges transparently.,Neutral
Customer support gave contradictory information.,Neutral
App notifications keep me well-informed about all my transactions.,Neutral
The mobile banking app is intuitive and easy to navigate.,Positive
Loan prepayment was processed quickly without extra charges.,Positive
Online dispute resolution was fast and effective.,Positive
I never received my credit card welcome kit.,Positive
I was delighted with how promptly my credit limit increase was approved.,Positive
I downloaded the updated version of the app.,Neutral
Loan approval took three business days.,Neutral
My EMI is deducted on the 5th of every month.,Neutral
Customer support transferred my call multiple times without resolution.,Neutral
The UPI transaction failed but the amount was still debited.,Negative
I use UPI for most of my small payments.,Positive
I didn’t receive my promised cashback even after two weeks.,Neutral
UPI transfer limit is too restrictive for business needs.,Neutral
Loan officer arrived late and missed our appointment.,Negative
My cheque book request is still in process.,Neutral
The interest rate is reviewed quarterly.,Neutral
I was charged a late fee even though I paid on time.,Negative
The mobile app login often fails due to server issues.,Negative
It took three attempts to verify my KYC details online.,Neutral
The mobile app shows all recent transactions.,Neutral
I was misinformed about the foreclosure penalty charges.,Neutral
There are too many promotional calls every week.,Positive
All charges were clearly explained before I signed the agreement.,Positive
I received an SMS confirmation after the payment.,Neutral
I didn’t receive any acknowledgment after raising a complaint.,Negative
I was charged for an add-on service I never opted for.,Neutral
The EMI schedule shows fixed monthly installments.,Positive
My card replacement request was fulfilled earlier than expected.,Negative
The app interface is modern and user-friendly.,Positive
The branch is open from 9 AM to 4 PM on weekdays.,Neutral
Customer service was extremely polite and helped me understand my credit score.,Negative
The app interface is confusing and hard to navigate.,Negative
My query was resolved efficiently via chat support.,Neutral
I received my credit card ahead of the expected delivery date.,Negative
Statement download was instant and easy to read.,Positive
I feel the bank doesn’t value loyal customers.,Positive
My debit card expires next month.,Neutral
The website is outdated and hard to use on mobile.,Negative
App sign-in with biometrics fails half the time.,Negative
Hidden charges made the loan costlier than expected.,Negative
I received the loan agreement copy by email.,Neutral
Cashback was credited within 24 hours of the transaction.,Neutral
Cash deposit machine malfunctioned and withheld my cash.,Neutral
Dispute resolution took much longer than promised.,Positive
I appreciate the secure two-factor authentication in online banking.,Positive
The bank sends monthly statements by email.,Neutral
There were hidden charges in my loan processing fee.,Negative
My home loan tenure is 15 years.,Neutral
